"stage","info_fraction","efficacy_z_boundary","futility_z_boundary","cumulative_alpha_spent","cumulative_beta_spent"
1,0.3,3.92857254262661,-0.522852343111022,4.27257874446862e-05,0.0192949815161362
2,1,1.96022287756205,NA,0.025,0.200000002400242
