"variable","mean","median","sd","2.5%","97.5%","rhat","ess_bulk","ess_tail"
"intercept",9.13394326767747,9.12025926354647,0.287587701466511,8.59817534227136,9.73514496843316,1.00250612417082,1641.5251819578,1737.45712903151
"beta[1]",0.340859408440028,0.337572116427709,0.140539183866886,0.0649025778249352,0.627383927990089,1.00122660787891,2897.03601755154,2350.62610011163
"beta[2]",-0.156911261463977,-0.156670556964287,0.0479498860892713,-0.254849819392287,-0.0642461230902118,1.00192833730617,1598.38377704683,1859.22355165066
"shape",1.60196391497825,1.60096505795937,0.103636372229106,1.4052481483341,1.81488155332878,1.00194327503428,2418.8231483392,2083.17469113673
"time_ratio[1]",1.42017550383693,1.40154068020278,0.202046228577065,1.06705506706941,1.87270503591251,1.00107787127748,2897.03601755154,2350.62610011163
"time_ratio[2]",0.855761389518793,0.85498568156288,0.0409649806141877,0.775032884141703,0.937774163365405,1.00192833730617,1598.38377704683,1859.22355165066
